age,gender,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,Churn
29,F,Town,Silver Membership,2016-04-09,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,18,300.38,12069.06,777.31,No,Yes,No,Not Applicable,Too many ads,1
10,M,City,Gold Membership,2015-11-10,Yes,CID60798,Credit/Debit Card Offers,?,Wi-Fi,1,100.65,8515.5,757.7,Yes,No,No,Not Applicable,No reason specified,1
20,F,Village,No Membership,2016-12-08,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,272.31,42743.44,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1
61,F,Village,Silver Membership,2017-05-14,?,CID29752,Gift Vouchers/Coupons,?,Fiber_Optic,17,-9367448179192270.0,29156.1,710.38,Yes,No,Yes,No Information Available,No reason specified,1
10,M,Town,Gold Membership,2016-01-12,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,4,127.37,15719.24,634.88,Yes,No,Yes,Unsolved,Poor Website,1
17,F,City,No Membership,2015-11-25,?,CID40054,Without Offers,Desktop,Fiber_Optic,20,162.93,31100.95,633.05,No,Yes,Yes,Solved,Too many ads,1
60,M,City,Gold Membership,2017-07-02,Yes,CID45046,Gift Vouchers/Coupons,Both,Fiber_Optic,11,537.25,1773.49,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,1
12,M,City,Premium Membership,2015-03-02,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,8,198.26,26105.24,721.36,Yes,No,No,Not Applicable,Poor Customer Service,1
52,M,Town,Silver Membership,2015-10-08,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9,119.47,10101.48,1.5854776452544e+16,Yes,No,No,Not Applicable,Poor Website,1
30,M,City,Basic Membership,2016-10-13,Yes,CID37735,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,68.19,21111.9,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
26,F,Town,No Membership,2017-07-01,Yes,CID26444,Without Offers,Desktop,Wi-Fi,20,194.85,5912.06,568.34,Yes,No,No,Not Applicable,Too many ads,1
49,F,Village,Platinum Membership,2017-06-09,Yes,CID18445,Credit/Debit Card Offers,Both,Fiber_Optic,8,706.36,19062.25,780.58,Yes,No,No,Not Applicable,Poor Product Quality,1
24,M,City,Premium Membership,2016-10-10,?,CID53825,Without Offers,Desktop,Fiber_Optic,15,210.44,35531.98,745.49,Yes,No,No,Not Applicable,Poor Product Quality,1
22,M,Town,No Membership,2017-06-02,Yes,CID48405,Without Offers,?,Wi-Fi,4,-9302078443168740.0,8415.63,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1
33,F,Town,Premium Membership,2017-02-02,?,CID44139,Credit/Debit Card Offers,Desktop,Wi-Fi,12,394.26,34697.85,752.3,Yes,No,Yes,No Information Available,Poor Website,1
17,M,City,Platinum Membership,2015-12-20,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,348.07,94100.72,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0
58,F,Village,Gold Membership,2017-11-09,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,11,30.78,48080.03,713.62,Yes,No,No,Not Applicable,Poor Product Quality,1
41,M,Town,Platinum Membership,2016-11-20,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,13,282.87,27528.03,743.8,Yes,No,No,Not Applicable,Poor Website,1
30,M,City,Platinum Membership,2015-12-11,?,CID4129,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20,100.42,86433.91,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0
23,M,Village,Gold Membership,2015-10-22,Yes,CID24995,Without Offers,?,Wi-Fi,10,65.25,5136.08,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0
38,M,Town,Gold Membership,2017-10-15,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,324.75,28535.13,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,1
20,M,City,Silver Membership,2015-01-27,Yes,CID23945,Without Offers,Desktop,Fiber_Optic,16,237.39,25000.09,704.4,No,Yes,No,Not Applicable,Poor Website,1
35,F,Village,Gold Membership,2016-10-30,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,148.24,30984.56,729.04,Yes,No,No,Not Applicable,Poor Customer Service,1
43,M,Town,Premium Membership,2017-04-26,Yes,xxxxxxxx,Without Offers,Both,Wi-Fi,16,773.83,9091.94,700.4,No,Yes,No,Not Applicable,Poor Product Quality,1
40,F,Town,Platinum Membership,2015-08-22,?,CID4999,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,251.06,63416.63,1087184702164710.0,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0
40,F,Town,Silver Membership,2017-08-21,Yes,CID15992,Credit/Debit Card Offers,Smartphone,Wi-Fi,-999,46.57,24045.93,709.73,No,Yes,No,Not Applicable,Poor Product Quality,1
48,F,Town,No Membership,2017-03-17,?,CID56231,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,539.49,49270.76,503.95,Yes,No,No,Not Applicable,Too many ads,1
35,M,Town,Premium Membership,2015-05-11,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.48,48679.07,779.59,Yes,No,No,Not Applicable,Poor Product Quality,1
28,M,Village,Gold Membership,2017-05-17,Yes,CID11661,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9,-615344318961141.0,13131.05,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0
40,M,Town,Premium Membership,2017-01-31,?,CID15184,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3,33.82,39735.58,784.32,Yes,No,Yes,No Information Available,Too many ads,0
18,F,City,Basic Membership,2016-06-17,Yes,CID29938,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,156.06,4783.23,597.87,Yes,No,Yes,No Information Available,Too many ads,0
35,M,Town,No Membership,2017-11-27,Yes,CID23426,Without Offers,Smartphone,Mobile_Data,4,157.03,22975.33,548.1,No,Yes,No,Not Applicable,Poor Website,1
43,M,Town,No Membership,2015-04-06,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,11,227.23,29602.15,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1
28,M,Village,Basic Membership,2017-10-29,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,4,457.33,20883.28,-5493574976761330.0,No,Yes,No,Not Applicable,Too many ads,1
53,M,Town,Platinum Membership,2017-01-27,No,xxxxxxxx,Without Offers,?,Fiber_Optic,6,228.02,46353.54,302005898539957.0,Yes,No,Yes,No Information Available,No reason specified,1
55,F,Town,Premium Membership,2017-09-03,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,42.77,8996.95,749.56,Yes,No,Yes,Unsolved,Poor Website,1
59,F,Town,No Membership,2017-06-08,Yes,CID8099,Gift Vouchers/Coupons,Desktop,Fiber_Optic,-999,207.52,12556.28,-4.45976325839602e+16,No,Yes,No,Not Applicable,No reason specified,1
39,M,City,No Membership,2016-12-01,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,98.57,2645.63,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1
11,M,City,Gold Membership,2016-06-22,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,23,176.31,8983.02,707.46,No,Yes,Yes,Solved,Poor Product Quality,1
37,M,Village,No Membership,2016-05-17,?,CID13799,Without Offers,Both,Mobile_Data,17,687.16,29101.96,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1
53,M,City,No Membership,2017-04-06,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,-999,253.96,19233.1,1032199126230710.0,Yes,No,Yes,Solved,Poor Website,1
57,M,Town,No Membership,2016-01-02,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,13,119.1,44341.82,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1
47,M,Town,Silver Membership,2015-07-22,?,CID5998,Without Offers,?,Wi-Fi,10,131.86,26399.43,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
50,M,Town,Gold Membership,2015-01-21,Yes,CID60579,Credit/Debit Card Offers,Desktop,Wi-Fi,19,65.39,17054.69,3533690014856320.0,No,Yes,Yes,Solved,No reason specified,1
49,F,City,Silver Membership,2016-08-25,Yes,CID31774,Gift Vouchers/Coupons,?,Wi-Fi,3,74.9,41612.23,1.19656931526004e+16,No,Yes,Yes,Solved in Follow-up,No reason specified,1
54,M,Town,Silver Membership,2017-06-21,?,CID58493,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,-6876295740289630.0,42060.89,684.69,Yes,No,Yes,No Information Available,Poor Website,1
53,F,City,Premium Membership,2015-04-02,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,172.99,9044.15,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
62,F,City,No Membership,2016-10-13,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,5,304.52,47658.52,699.19,No,Yes,Yes,Solved,Too many ads,1
55,M,City,Platinum Membership,2015-04-14,Yes,CID47303,Credit/Debit Card Offers,Both,Mobile_Data,1,1316.52,2367.56,4418365499392010.0,Yes,No,No,Not Applicable,No reason specified,0
30,M,City,Silver Membership,2017-06-03,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,191.41,25575.44,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
16,M,City,Silver Membership,2017-11-06,?,CID62149,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,355.31,20457.22,1.23376972723539e+16,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
25,F,Village,Gold Membership,2017-05-18,Yes,CID4642,Without Offers,Smartphone,Mobile_Data,11,31.88,35414.54,788.67,No,Yes,No,Not Applicable,No reason specified,1
24,F,Town,Premium Membership,2017-08-29,Yes,CID40499,Without Offers,Desktop,Fiber_Optic,5,181.34,43554.96,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
56,M,Village,Basic Membership,2017-08-22,Yes,CID11447,Credit/Debit Card Offers,Desktop,Wi-Fi,24,48.59,28071.04,533.05,No,Yes,Yes,Solved,Poor Website,1
23,F,Town,Gold Membership,2016-08-04,Yes,CID3210,Without Offers,Desktop,Wi-Fi,21,727.69,4919.72,758.83,Yes,Yes,No,Not Applicable,Too many ads,1
42,F,City,No Membership,2016-06-23,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,3,419.51,14661.42,4044897583720520.0,No,Yes,Yes,Solved in Follow-up,No reason specified,1
59,M,Village,Gold Membership,2015-09-01,Yes,CID45337,Without Offers,Both,Mobile_Data,8,899.04,49614.88,758.69,Yes,No,No,Not Applicable,Poor Website,0
18,M,Town,Basic Membership,2015-12-22,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,11,293.42,2521.3,9648409708374110.0,Yes,No,Yes,No Information Available,Poor Customer Service,1
23,M,City,Gold Membership,2015-06-21,Yes,CID44094,Credit/Debit Card Offers,Desktop,Wi-Fi,10,934354219849904.0,11955.94,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1
52,F,City,Basic Membership,2017-11-13,Yes,CID60201,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,826.51,14877.24,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1
49,F,Town,Premium Membership,2016-09-02,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,115.41,41156.81,741.02,No,Yes,No,Not Applicable,Poor Customer Service,1
31,F,Town,Basic Membership,2016-08-18,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,148.95,2364.45,634.51,No,Yes,No,Not Applicable,Too many ads,1
27,M,City,Silver Membership,2016-10-23,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,21,357.45,29825.45,665.63,No,Yes,Yes,Solved,Poor Website,1
56,M,City,Gold Membership,2016-04-24,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,21,1.38623285731117e+16,9454.17,778.27,Yes,No,No,Not Applicable,Too many ads,1
31,F,Town,Silver Membership,2017-04-13,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,10,428.05,6325.08,8009369312905500.0,No,Yes,No,Not Applicable,Poor Product Quality,1
29,M,Town,Premium Membership,2016-05-07,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,42.48,16098.94,766.85,Yes,No,Yes,Solved,Poor Website,1
31,F,City,Silver Membership,2016-04-20,Yes,CID42557,Without Offers,Smartphone,Wi-Fi,24,33.91,23226.43,762.48,No,Yes,Yes,Solved,Poor Customer Service,1
11,F,Town,Basic Membership,2015-03-10,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,1.06052797915491e+16,10990.31,2.71714381293948e+16,Yes,No,No,Not Applicable,Poor Product Quality,1
14,M,Town,Basic Membership,2017-07-19,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,-999,1.1564319042423e+16,32302.27,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1
26,M,City,Silver Membership,2017-11-14,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,187.91,17002.23,700.11,No,Yes,No,Not Applicable,Too many ads,1
51,M,Village,Platinum Membership,2017-09-22,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,3,-4940838770502790.0,40667.27,809.83,Yes,No,No,Not Applicable,Reasonable Price,0
43,F,Village,Silver Membership,2016-12-12,Yes,CID9864,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,-7714156089065670.0,16186.76,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1
23,M,Town,Gold Membership,2016-03-17,?,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,109.76,46102.66,783.03,Yes,No,No,Not Applicable,Poor Product Quality,1
57,M,Town,Gold Membership,2015-08-30,Yes,CID11739,Gift Vouchers/Coupons,Desktop,Wi-Fi,-999,56.63,10171.97,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,1
42,M,City,Platinum Membership,2015-06-08,Yes,CID36216,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,1.19573266646722e+16,31504.62,1.20725372867604e+16,Yes,No,No,Not Applicable,Poor Customer Service,1
46,M,Village,No Membership,2017-03-16,Yes,CID31973,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,287.39,44809.68,629.6,No,Yes,No,Not Applicable,Poor Product Quality,1
61,M,City,Basic Membership,2017-05-31,?,CID24876,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,115.29,13019.31,1.64070348161934e+16,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
15,F,City,Premium Membership,2015-08-04,?,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5,185.05,43833.54,743.57,No,Yes,No,Not Applicable,Poor Product Quality,1
35,M,City,Gold Membership,2015-03-26,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,17,219.13,70247.76,1.29316938083933e+16,Yes,Yes,No,Not Applicable,User Friendly Website,0
57,M,Town,No Membership,2015-01-13,Yes,CID33756,Credit/Debit Card Offers,Smartphone,Wi-Fi,8,400.35,30248.45,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,1
64,M,Town,No Membership,2015-03-16,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,20,49.24,39981.97,648.6,Yes,No,Yes,Solved,Too many ads,1
21,M,Town,Basic Membership,2017-02-28,Yes,CID47291,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,590.85,21919.13,610.24,Yes,No,Yes,Solved,Poor Product Quality,1
53,F,Town,Gold Membership,2017-01-27,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,1.14214883537467e+16,34918.7,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,1
26,M,Village,No Membership,2017-06-26,Yes,CID37189,Credit/Debit Card Offers,Desktop,Mobile_Data,16,138.33,8025.77,1.01678571300974e+16,Yes,No,No,Not Applicable,Poor Customer Service,1
61,M,Town,Gold Membership,2016-01-08,Yes,CID22912,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,516.46,45544.33,780.96,No,Yes,Yes,Unsolved,Too many ads,1
30,M,Town,No Membership,2015-04-28,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,19,211.19,2554.48,622.45,Yes,Yes,Yes,Solved,Poor Website,1
35,F,City,Gold Membership,2015-06-24,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,10,267.45,32922.76,701.45,No,Yes,No,Not Applicable,No reason specified,1
53,M,City,Gold Membership,2017-05-05,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,19,213.34,8860.9,671.74,Yes,No,Yes,Solved,Poor Website,1
55,M,Town,No Membership,2017-11-26,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,23,50.48,8944.54,626.96,Yes,No,Yes,Unsolved,Poor Customer Service,1
23,M,City,Basic Membership,2016-01-30,Yes,CID59483,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,1044243493684980.0,26060.01,684.88,Yes,No,Yes,Solved,Poor Website,1
11,M,Town,Premium Membership,2015-04-23,Yes,CID26778,Gift Vouchers/Coupons,Both,Mobile_Data,-999,628.79,33199.52,777.94,Yes,No,Yes,No Information Available,Poor Customer Service,1
37,M,Village,Silver Membership,2015-02-04,Yes,CID62069,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,172.07,23587.32,3261310708697290.0,Yes,No,No,Not Applicable,Poor Website,1
38,F,City,Basic Membership,2017-05-24,?,CID32492,Gift Vouchers/Coupons,?,Fiber_Optic,26,30.49,37139.89,627.26,Yes,No,No,Not Applicable,Poor Customer Service,1
59,F,City,Basic Membership,2016-08-31,No,xxxxxxxx,Without Offers,Both,Wi-Fi,8,400.21,33996.1,697.6,Yes,Yes,No,Not Applicable,Poor Product Quality,1
50,F,Town,Gold Membership,2016-02-26,Yes,CID34703,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,103.36,39610.89,653.12,Yes,No,Yes,Solved,Poor Customer Service,1
12,F,Town,Gold Membership,2017-10-07,?,CID12643,Without Offers,Desktop,Wi-Fi,9,412.22,1313.11,733.13,Yes,Yes,No,Not Applicable,Products always in Stock,0
29,F,Village,Premium Membership,2016-01-04,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19,222.69,18297.21,774.47,No,Yes,Yes,No Information Available,Products always in Stock,0
39,F,City,Silver Membership,2016-09-27,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,283.85,3888.65,9599204100132200.0,Yes,No,No,Not Applicable,Products always in Stock,0
37,F,City,Premium Membership,2017-05-21,?,CID60244,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,136.19,6965.48,1.18187376258306e+16,Yes,No,No,Not Applicable,Too many ads,1
37,F,Town,Gold Membership,2016-02-09,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5,32.29,63097.55,780.09,No,Yes,No,Not Applicable,User Friendly Website,0
21,M,Town,Silver Membership,2015-07-01,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,145.45,48500.63,727.97,No,Yes,Yes,Solved,Poor Customer Service,1
64,F,Town,Basic Membership,2017-09-26,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10,313.84,23211.35,573.16,Yes,No,No,Not Applicable,Poor Product Quality,1
56,F,Town,Silver Membership,2016-02-03,?,CID5182,Without Offers,Smartphone,Wi-Fi,11,254.72,28425.26,789.3,Yes,Yes,No,Not Applicable,No reason specified,1
37,F,Town,Basic Membership,2016-07-21,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,206.56,13037.39,616.68,Yes,No,Yes,Solved in Follow-up,Too many ads,1
55,M,Town,Basic Membership,2016-10-07,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21,51.75,27564.76,660.59,No,Yes,No,Not Applicable,Too many ads,1
18,M,City,Basic Membership,2016-05-10,Yes,CID15710,Without Offers,Smartphone,Fiber_Optic,10,117.9,49537.82,528.08,Yes,No,Yes,Solved,Poor Product Quality,1
48,F,City,Basic Membership,2017-09-23,Yes,CID3745,Credit/Debit Card Offers,Desktop,Mobile_Data,15,77.18,49448.05,605.23,No,Yes,Yes,No Information Available,Poor Product Quality,1
54,M,Town,Basic Membership,2016-07-24,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,8,60.77,45095.33,692.59,Yes,No,No,Not Applicable,Poor Product Quality,1
52,F,Village,Gold Membership,2017-12-31,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,15,197.85,42084.72,710.7,No,Yes,No,Not Applicable,Poor Customer Service,1
33,F,Town,Platinum Membership,2017-09-20,Yes,CID25657,Without Offers,Both,Mobile_Data,11,502.4,4714.82,4728025703520010.0,Yes,No,No,Not Applicable,Poor Website,1
35,M,Town,No Membership,2017-03-05,Yes,CID3266,Credit/Debit Card Offers,Smartphone,Fiber_Optic,6,33.96,6175.77,545.14,Yes,No,No,Not Applicable,Poor Product Quality,1
42,M,City,Platinum Membership,2015-10-06,?,CID1047,Without Offers,Both,Mobile_Data,13,617.09,33226.66,1053420685435170.0,Yes,Yes,Yes,No Information Available,Poor Product Quality,1
39,F,City,Gold Membership,2017-10-27,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,34.93,42965.53,630.68,No,Yes,Yes,Solved,Poor Product Quality,1
29,M,City,Premium Membership,2015-01-08,Yes,CID38291,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,317.25,17951.87,753.97,No,Yes,No,Not Applicable,Poor Customer Service,1
47,M,Town,No Membership,2017-01-05,Yes,CID19961,Credit/Debit Card Offers,?,Fiber_Optic,5,876.87,41927.46,636.3,Yes,No,Yes,Solved in Follow-up,Poor Website,0
16,F,City,Gold Membership,2017-04-30,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,8,133.36,21896.63,644.25,Yes,No,No,Not Applicable,No reason specified,1
14,F,City,No Membership,2016-12-19,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,33.34,46392.24,582.93,Yes,No,No,Not Applicable,Poor Customer Service,1
13,F,Village,Premium Membership,2016-11-28,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5,84.05,10423.83,1.04481537996821e+16,No,Yes,Yes,No Information Available,No reason specified,1
56,F,Town,No Membership,2016-09-04,Yes,CID11953,Without Offers,Desktop,Wi-Fi,19,69.22,14117.54,523.54,No,Yes,Yes,Solved in Follow-up,Poor Website,1
64,F,City,Silver Membership,2016-09-29,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,32.16,67458.29,764.62,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
47,M,Town,No Membership,2015-03-14,Yes,CID28985,Gift Vouchers/Coupons,Both,Wi-Fi,20,692.73,18404.11,1.07274512805229e+16,Yes,No,Yes,No Information Available,Poor Website,1
46,F,Town,Premium Membership,2015-08-02,?,CID61716,Without Offers,Both,Mobile_Data,12,261.76,15786.32,704.13,No,Yes,No,Not Applicable,Poor Product Quality,1
